id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6656423,Double bed in relaxed house.,22491816,Sean,Trafford,Trafford District,53.39611,-2.35337,Private room,46,1,53,2022-11-02,0.65,1,174,7,
6677010,Tranquil sunny double WR/Chorlton,11064258,Brie,Manchester,Whalley Range,53.45181,-2.25807,Private room,28,1,189,2022-11-08,2.12,2,136,7,
6689776,Fresh and comfortable single room in Leigh.,23770083,Kev,Wigan,Wigan District,53.51416,-2.53372,Private room,24,1,127,2022-11-06,2.03,2,343,20,
6770552,West Didsbury room in BRIGHT flat!,6478345,Jemma,Manchester,Didsbury West,53.4243,-2.23652,Private room,53,2,39,2022-12-08,0.44,6,163,6,
6774827,Bright & cosy crashpad,11064258,Brie,Manchester,Whalley Range,53.45058,-2.25959,Private room,26,1,229,2022-09-25,2.53,2,148,5,
6803092,Evergreen Suite,35614169,Benjamin,Salford,Salford District,53.5075,-2.25811,Entire home/apt,146,3,14,2017-06-18,0.15,13,0,0,
6851772,Great transport links. Off Rd parking. Family home,34585717,Alan & Linda,Stockport,Stockport District,53.42828,-2.17421,Private room,35,2,61,2019-12-01,0.69,1,325,0,
6914820,Luxe New York Boutique Apartment by The Jacksonhei,36240230,The Jacksonheim Boutique,Manchester,Bradford,53.48127,-2.22006,Entire home/apt,120,1,390,2022-12-01,4.27,20,346,12,
7048918,Suite Eighty Eight,35614169,Benjamin,Salford,Salford District,53.50665,-2.25973,Entire home/apt,182,2,7,2019-10-13,0.08,13,0,0,
7057821,Rowan Estates,35614169,Benjamin,Salford,Salford District,53.50808,-2.25876,Entire home/apt,148,3,7,2018-06-11,0.08,13,68,0,
7083657,Spacious 2 Bed Flat in City Centre,37132737,Soy,Manchester,City Centre,53.47338,-2.24141,Entire home/apt,139,2,304,2022-12-06,3.43,1,105,34,
7112415,Double Bedroom in Victorian Home (Super King Bed),17746047,Christopher,Stockport,Stockport District,53.4208,-2.18235,Private room,46,1,79,2022-12-12,0.87,3,249,24,
7341045,Twin room,38458938,Caroline,Manchester,Moss Side,53.45045,-2.23494,Private room,70,2,5,2022-08-28,0.33,2,0,1,
7393366,Comfy Large Room Available,21029549,Ejike,Manchester,Gorton South,53.45963,-2.17161,Private room,50,2,27,2022-06-03,0.30,5,176,1,
7395875,Cosy room in pretty Cheadle cottage,38630456,Adrienne,Stockport,Stockport District,53.39677,-2.21422,Private room,45,1,70,2022-12-12,0.78,1,334,16,
7472592,Modern house close to transport,14078746,Lisa,Salford,Salford District,53.48596,-2.30474,Private room,30,5,60,2022-04-14,0.67,1,0,2,
